business_id,business_seed,truth_seed,module_order,evidence_group,population,gross_margin,price,market_trend,season_amplitude,social_planning_correlation,social_budget,social_growth,social_unit_cost,social_hill_ec,social_hill_slope,search_budget,search_growth,search_ctr_scale,tv_budget,tv_growth,tv_hill_ec,tv_hill_slope,tv_lag_weeks,demand_scale,experiment_bias_share
amss-v11c-022,1210022,1410022,search|paid_social_proxy|tv,search-experiment,155600000,0.65275,85.17,0.6584,0.3534,0.25775,25575000,0.1945,0.01054,3.051,1.826,7875000,0.09625,1.364,53325000,0.0221,1.867,0.7275,2,0.7795,-0.079
amss-v11c-023,1210023,1410023,search|tv|paid_social_proxy,tv-experiment,222800000,0.60025,67.33,0.6072,0.3282,0.35675,40625000,0.0955,0.0043,1.569,1.97,23745000,0.08225,1.284,43425000,0.0551,1.713,1.3215,0,1.1925,-0.013
amss-v11c-024,1210024,1410024,tv|paid_social_proxy|search,no-experiment,278000000,0.63875,57.13,0.8152,0.1322,0.58225,19625000,0.0835,0.00754,2.531,1.226,25355000,0.20825,1.268,61575000,0.0793,1.207,1.0245,0,0.9895,0.027
amss-v11c-025,1210025,1410025,paid_social_proxy|search|tv,paid-social-experiment,275600000,0.39025,108.13,0.7192,0.3758,0.21375,16125000,0.1705,0.01426,2.271,1.442,27195000,0.12075,0.828,59925000,0.0463,1.493,0.9805,2,0.7445,-0.041
amss-v11c-026,1210026,1410026,paid_social_proxy|tv|search,search-experiment,208400000,0.45675,60.52,0.7256,0.1434,0.20275,39225000,0.2395,0.00622,3.337,1.754,6955000,0.21525,1.308,60475000,0.1167,1.823,1.6295,2,1.1155,0.015
amss-v11c-027,1210027,1410027,search|paid_social_proxy|tv,tv-experiment,249200000,0.44625,113.22,0.6776,0.345,0.52725,28025000,0.2125,0.00502,1.621,1.79,11095000,0.03325,1.388,49475000,0.0243,1.075,1.2885,10,1.0875,0.083
amss-v11c-028,1210028,1410028,search|tv|paid_social_proxy,no-experiment,227600000,0.42525,121.73,0.6456,0.1098,0.45025,10875000,0.1735,0.01342,2.375,1.13,8335000,0.09975,1.204,34625000,0.0419,1.163,1.7395,4,0.8005,0.023
amss-v11c-029,1210029,1410029,tv|search|paid_social_proxy,paid-social-experiment,318800000,0.64925,132.78,0.7544,0.373,0.35125,25925000,0.2065,0.01174,2.427,1.994,21905000,0.18025,1.38,55525000,-0.0087,2.241,1.3985,0,1.2835,0.005
amss-v11c-030,1210030,1410030,paid_social_proxy|search|tv,search-experiment,105200000,0.48125,91.97,0.6104,0.3338,0.60975,21375000,0.1885,0.01222,1.517,1.85,25125000,0.20475,0.804,26375000,-0.0263,1.383,1.6515,9,0.8705,-0.089
amss-v11c-031,1210031,1410031,paid_social_proxy|tv|search,tv-experiment,280400000,0.49875,84.33,0.62,0.1714,0.42275,43075000,0.1375,0.0079,2.479,0.89,11555000,0.05075,0.82,75875000,-0.0593,2.879,0.9585,2,0.7375,-0.035
amss-v11c-032,1210032,1410032,search|paid_social_proxy|tv,no-experiment,194000000,0.50575,82.63,0.7224,0.1462,0.33475,11925000,0.1525,0.0151,2.297,1.874,6725000,0.28525,1.236,48375000,0.0001,0.987,1.2995,3,1.3255,-0.003
amss-v11c-033,1210033,1410033,tv|paid_social_proxy|search,paid-social-experiment,292400000,0.41125,134.48,0.6296,0.3226,0.46125,25225000,0.2185,0.00658,2.713,1.298,21215000,0.08925,0.868,38475000,-0.0725,2.791,1.7175,7,1.2625,-0.053
amss-v11c-034,1210034,1410034,tv|search|paid_social_proxy,search-experiment,234800000,0.39725,103.03,0.5208,0.205,0.70875,35025000,0.0415,0.01186,3.155,1.334,19145000,0.16275,1.3,56625000,-0.0065,1.317,0.7495,9,1.0035,-0.033
amss-v11c-035,1210035,1410035,paid_social_proxy|search|tv,tv-experiment,294800000,0.46025,75.83,0.6264,0.2162,0.27425,33275000,0.1465,0.00406,2.661,0.842,26965000,0.33775,1.316,45625000,0.0727,1.735,1.7835,3,0.9055,0.095
amss-v11c-036,1210036,1410036,paid_social_proxy|tv|search,no-experiment,196400000,0.69125,83.47,0.5432,0.191,0.23025,34325000,0.1675,0.00634,2.947,1.502,5115000,0.27475,0.908,30225000,0.0881,2.175,0.9365,9,1.0245,-0.099
amss-v11c-037,1210037,1410037,search|tv|paid_social_proxy,paid-social-experiment,179600000,0.69475,74.13,0.5912,0.2638,0.49425,14375000,0.0745,0.0067,2.349,1.046,14545000,0.02975,1.036,29675000,-0.0153,0.855,1.3655,10,1.0525,-0.083
amss-v11c-038,1210038,1410038,tv|paid_social_proxy|search,search-experiment,93200000,0.35875,87.72,0.5144,0.2358,0.47775,32225000,0.1045,0.01462,2.167,1.238,25585000,0.21875,1.124,68725000,0.0837,0.943,1.2005,6,1.2275,0.059
amss-v11c-039,1210039,1410039,tv|search|paid_social_proxy,tv-experiment,100400000,0.56525,66.47,0.764,0.247,0.38425,42725000,0.1405,0.00562,2.869,1.178,19605000,0.08575,0.844,40125000,-0.0571,1.977,1.1895,3,0.9685,-0.019
amss-v11c-040,1210040,1410040,paid_social_proxy|search|tv,no-experiment,206000000,0.43925,61.38,0.8056,0.1126,0.24675,38875000,-0.0365,0.01486,3.727,1.022,13625000,0.04375,0.636,58275000,-0.0505,2.769,0.9475,5,0.7655,0.017
amss-v11c-041,1210041,1410041,search|paid_social_proxy|tv,paid-social-experiment,285200000,0.48825,136.18,0.5944,0.3254,0.30175,42375000,0.0235,0.01582,3.779,1.526,23515000,0.00875,0.964,25275000,0.0661,2.527,0.8375,5,0.6955,0.053
amss-v11c-042,1210042,1410042,search|tv|paid_social_proxy,search-experiment,210800000,0.49175,76.67,0.6904,0.2582,0.37875,14725000,0.0775,0.01306,3.363,1.982,6035000,0.01225,1.26,52225000,0.1013,2.351,1.6845,2,1.2485,0.025
amss-v11c-043,1210043,1410043,tv|paid_social_proxy|search,tv-experiment,203600000,0.66675,79.22,0.7096,0.2078,0.44475,40275000,0.1825,0.0061,3.103,1.43,12015000,0.11375,0.772,75325000,0.0991,2.219,1.0905,1,0.6745,-0.075
amss-v11c-044,1210044,1410044,tv|search|paid_social_proxy,no-experiment,134000000,0.61775,139.57,0.7576,0.2694,0.67025,38525000,0.0145,0.01546,2.323,1.094,13395000,0.02625,0.86,27475000,0.0947,1.405,1.1785,4,0.8495,0.099
amss-v11c-045,1210045,1410045,paid_social_proxy|tv|search,paid-social-experiment,110000000,0.38325,100.47,0.604,0.2498,0.71425,32575000,0.0865,0.00598,2.687,1.886,9485000,0.06825,1.028,61025000,0.0441,2.087,1.4425,6,0.6675,0.079
amss-v11c-046,1210046,1410046,search|paid_social_proxy|tv,search-experiment,124400000,0.40075,97.08,0.524,0.1238,0.53275,10175000,0.2335,0.01438,1.751,0.974,17765000,0.27825,0.884,35175000,0.0111,2.747,1.3545,1,0.9545,-0.011
amss-v11c-047,1210047,1410047,search|tv|paid_social_proxy,tv-experiment,167600000,0.37275,117.47,0.6136,0.1994,0.73075,31875000,0.0595,0.0145,3.467,1.598,24665000,0.12425,1.276,33525000,-0.0175,2.483,1.1015,4,1.0315,0.067
amss-v11c-048,1210048,1410048,tv|paid_social_proxy|search,no-experiment,225200000,0.53725,73.28,0.5752,0.135,0.65375,37125000,0.2005,0.00706,1.439,1.166,21445000,0.33075,0.684,71475000,-0.0131,1.185,0.8705,1,0.8775,-0.073
amss-v11c-049,1210049,1410049,paid_social_proxy|search|tv,paid-social-experiment,189200000,0.50925,112.38,0.812,0.3702,0.41175,41675000,0.1645,0.00718,3.571,1.622,24205000,0.29225,1.228,28575000,-0.0527,2.329,0.8485,5,0.7165,0.049
amss-v11c-050,1210050,1410050,paid_social_proxy|tv|search,search-experiment,302000000,0.41475,97.92,0.7608,0.2918,0.43925,26975000,0.0535,0.01234,3.207,1.406,22595000,0.20125,1.068,35725000,0.0353,1.515,1.2665,8,1.2975,-0.095
amss-v11c-051,1210051,1410051,search|paid_social_proxy|tv,tv-experiment,122000000,0.52325,63.92,0.8184,0.1826,0.62075,27675000,0.0925,0.0133,2.609,1.958,10865000,0.00175,0.852,43975000,0.0617,1.427,1.6405,8,1.3115,0.069
amss-v11c-052,1210052,1410052,search|tv|paid_social_proxy,no-experiment,237200000,0.61075,106.42,0.796,0.2022,0.49975,11575000,0.0295,0.00442,3.805,0.914,26735000,0.19425,0.652,42325000,0.0023,1.603,1.1675,2,0.9965,-0.027
amss-v11c-053,1210053,1410053,tv|search|paid_social_proxy,paid-social-experiment,273200000,0.59325,130.22,0.7768,0.2834,0.25225,24875000,0.0175,0.01258,2.739,1.862,20525000,0.25025,1.34,65425000,0.0639,1.295,1.6735,10,1.0105,-0.001
amss-v11c-054,1210054,1410054,paid_social_proxy|search|tv,search-experiment,119600000,0.38675,114.07,0.6008,0.1658,0.24125,28725000,0.1585,0.00862,2.401,1.694,10635000,0.15575,1.356,32975000,0.0177,2.637,0.8155,7,1.0175,0.051
amss-v11c-055,1210055,1410055,paid_social_proxy|tv|search,tv-experiment,191600000,0.43575,80.92,0.652,0.219,0.55475,30125000,0.2425,0.00526,3.545,1.562,8795000,0.00525,1.348,50025000,-0.0197,2.703,1.4535,10,0.9475,-0.061
amss-v11c-056,1210056,1410056,search|paid_social_proxy|tv,no-experiment,158000000,0.58975,124.27,0.5176,0.2414,0.64825,43775000,0.1615,0.0121,3.129,1.574,11785000,0.26775,0.612,57175000,-0.0615,1.779,0.8925,1,1.0455,-0.043
amss-v11c-057,1210057,1410057,tv|paid_social_proxy|search,paid-social-experiment,232400000,0.65975,110.68,0.7704,0.3562,0.37325,13325000,-0.0155,0.01378,2.557,1.466,18915000,0.18725,1.332,34075000,-0.0109,1.251,1.1235,10,1.1295,-0.069
amss-v11c-058,1210058,1410058,tv|search|paid_social_proxy,search-experiment,242000000,0.67025,78.38,0.732,0.2246,0.58775,44475000,0.1165,0.00838,2.635,1.838,27425000,0.23975,0.74,36275000,0.0859,1.669,0.9915,4,1.2765,-0.007
amss-v11c-059,1210059,1410059,paid_social_proxy|search|tv,tv-experiment,136400000,0.47425,89.43,0.6712,0.1042,0.32375,31525000,0.1915,0.00898,3.701,1.142,13855000,0.04725,1.372,68175000,-0.0307,1.911,1.7945,8,1.2135,0.057
amss-v11c-060,1210060,1410060,paid_social_proxy|tv|search,no-experiment,112400000,0.49525,62.23,0.5528,0.2554,0.54375,26275000,-0.0095,0.00538,1.829,1.01,15005000,0.26425,0.996,39025000,-0.0043,1.031,0.7605,5,0.8425,-0.093
amss-v11c-061,1210061,1410061,search|tv|paid_social_proxy,paid-social-experiment,90800000,0.45325,70.72,0.54,0.331,0.54925,36075000,-0.0335,0.00946,1.907,1.646,23285000,0.31325,0.796,77525000,0.0199,1.141,1.4095,5,1.2205,0.091
amss-v11c-062,1210062,1410062,tv|paid_social_proxy|search,search-experiment,256400000,0.36575,103.88,0.7,0.3142,0.69775,21725000,0.0565,0.01318,3.987,1.394,27885000,0.02275,1.02,64325000,0.0067,2.131,1.1565,5,0.7095,-0.081
amss-v11c-063,1210063,1410063,tv|search|paid_social_proxy,tv-experiment,86000000,0.40425,131.93,0.5816,0.275,0.67575,20675000,0.1075,0.00826,3.233,1.034,18225000,0.03675,0.812,69825000,0.0155,2.659,0.7935,2,1.1995,-0.091
amss-v11c-064,1210064,1410064,paid_social_proxy|search|tv,no-experiment,81200000,0.35525,115.78,0.7672,0.3366,0.51625,24175000,0.1285,0.01078,2.063,1.718,26505000,0.14875,0.956,79175000,0.1145,1.581,1.4755,10,1.1575,0.037
amss-v11c-065,1210065,1410065,search|paid_social_proxy|tv,paid-social-experiment,290000000,0.44275,119.17,0.5656,0.1938,0.56575,19975000,0.0445,0.0091,1.543,1.214,19375000,0.32025,1.188,76975000,-0.0241,1.361,1.5525,5,0.8075,0.071
amss-v11c-066,1210066,1410066,search|tv|paid_social_proxy,search-experiment,306800000,0.51625,137.88,0.748,0.1602,0.68675,12625000,0.0655,0.0055,1.985,1.658,18685000,0.19775,1.172,78075000,-0.0329,1.757,1.5305,0,0.6885,-0.055
amss-v11c-067,1210067,1410067,tv|paid_social_proxy|search,tv-experiment,304400000,0.48475,137.02,0.7928,0.3058,0.26325,36425000,-0.0005,0.01354,2.453,1.082,8565000,0.07525,0.988,26925000,-0.0659,2.505,1.5195,3,0.7585,0.031
amss-v11c-068,1210068,1410068,tv|search|paid_social_proxy,no-experiment,314000000,0.68425,77.53,0.6232,0.3114,0.21925,13675000,0.1315,0.0139,3.675,1.682,25815000,0.13475,0.98,37375000,0.0815,2.813,1.0025,9,1.1855,-0.051
amss-v11c-069,1210069,1410069,paid_social_proxy|tv|search,paid-social-experiment,138800000,0.62125,108.97,0.7384,0.1686,0.47225,43425000,0.2035,0.01066,2.245,0.986,14315000,0.18375,0.644,41225000,-0.0549,2.967,1.3435,0,1.0805,-0.025
amss-v11c-070,1210070,1410070,search|paid_social_proxy|tv,search-experiment,184400000,0.47075,91.13,0.6648,0.3618,0.43375,38175000,0.1345,0.01294,3.909,1.898,26045000,0.01575,1.324,65975000,0.0309,2.857,1.1125,1,1.1365,-0.067
amss-v11c-071,1210071,1410071,search|tv|paid_social_proxy,tv-experiment,251600000,0.56875,109.83,0.5848,0.177,0.48875,15775000,0.0355,0.01282,1.673,1.778,9255000,0.34475,0.972,56075000,0.0287,2.901,1.6625,8,0.6815,-0.049
amss-v11c-072,1210072,1410072,tv|paid_social_proxy|search,no-experiment,126800000,0.55125,99.63,0.636,0.1154,0.62625,39575000,-0.0245,0.00802,3.961,1.358,17305000,0.14525,1.004,30775000,-0.0373,1.449,1.2335,10,0.8565,0.063
amss-v11c-073,1210073,1410073,paid_social_proxy|search|tv,paid-social-experiment,239600000,0.43225,57.98,0.7064,0.233,0.50525,21025000,0.1555,0.0157,3.389,1.07,15695000,0.15925,1.108,45075000,-0.0351,1.647,1.2775,1,0.9825,-0.037
amss-v11c-074,1210074,1410074,paid_social_proxy|tv|search,search-experiment,266000000,0.57575,56.27,0.5784,0.1742,0.51075,22425000,-0.0185,0.00778,2.089,1.73,9025000,0.32725,0.94,41775000,-0.0901,1.559,0.9035,7,0.8285,-0.005
amss-v11c-075,1210075,1410075,search|paid_social_proxy|tv,tv-experiment,131600000,0.59675,59.67,0.716,0.1518,0.22475,17175000,-0.0485,0.00514,1.465,1.91,12475000,0.07875,0.78,58825000,0.0375,2.417,1.4645,7,1.1645,-0.065
amss-v11c-076,1210076,1410076,search|tv|paid_social_proxy,no-experiment,172400000,0.46375,120.88,0.7992,0.3086,0.46675,41325000,0.2305,0.01414,2.921,1.286,14085000,0.28175,0.924,31875000,0.0925,2.021,1.5415,5,0.6535,-0.059
amss-v11c-077,1210077,1410077,tv|search|paid_social_proxy,paid-social-experiment,170000000,0.58275,94.53,0.5048,0.2218,0.29075,30475000,0.2245,0.00682,3.597,1.322,24435000,0.09275,1.116,40675000,0.0089,1.119,0.7055,9,1.3395,0.055
amss-v11c-078,1210078,1410078,paid_social_proxy|search|tv,search-experiment,174800000,0.64225,65.63,0.6392,0.1014,0.72525,20325000,0.1105,0.01018,3.831,1.106,5575000,0.30275,1.084,48925000,-0.0989,0.899,1.4865,9,0.8635,0.039
amss-v11c-079,1210079,1410079,paid_social_proxy|tv|search,tv-experiment,201200000,0.42175,126.83,0.5688,0.1798,0.32925,18925000,-0.0395,0.00694,2.037,1.274,7645000,0.34125,1.156,44525000,0.1123,1.801,1.7725,8,0.8845,0.061
amss-v11c-080,1210080,1410080,search|paid_social_proxy|tv,no-experiment,282800000,0.35175,88.58,0.508,0.107,0.29625,11225000,0.1435,0.01162,3.181,1.49,13165000,0.32375,0.932,73125000,-0.0483,2.065,1.7505,0,0.9755,-0.017
amss-v11c-081,1210081,1410081,tv|paid_social_proxy|search,paid-social-experiment,198800000,0.53375,125.13,0.684,0.2106,0.42825,17525000,-0.0125,0.01006,2.895,1.478,11325000,0.16975,0.716,46175000,-0.0813,2.835,1.5855,8,1.3465,-0.023
amss-v11c-082,1210082,1410082,tv|search|paid_social_proxy,search-experiment,263600000,0.67375,105.57,0.6552,0.1882,0.34025,32925000,0.0505,0.00574,1.647,1.454,8105000,0.28875,1.212,72025000,-0.0681,0.921,1.3765,2,1.2555,0.093
amss-v11c-083,1210083,1410083,paid_social_proxy|search|tv,tv-experiment,177200000,0.69825,92.83,0.7352,0.2722,0.40075,18575000,-0.0215,0.00766,1.803,1.202,15235000,0.14175,1.012,73675000,0.0045,2.109,1.1345,6,1.0945,0.087
amss-v11c-084,1210084,1410084,paid_social_proxy|tv|search,no-experiment,146000000,0.62475,80.08,0.5496,0.2274,0.56025,17875000,0.0085,0.00814,2.193,1.814,17075000,0.24675,0.7,67625000,0.0331,2.945,1.3325,0,1.2415,0.003
amss-v11c-085,1210085,1410085,search|tv|paid_social_proxy,paid-social-experiment,182000000,0.51275,63.08,0.7288,0.3422,0.69225,10525000,0.0055,0.01126,2.011,1.67,7185000,0.22575,0.764,39575000,0.0969,2.307,1.0575,7,0.8985,0.011
amss-v11c-086,1210086,1410086,tv|paid_social_proxy|search,search-experiment,160400000,0.54075,72.42,0.8088,0.1574,0.38975,15075000,0.2275,0.01498,2.583,1.262,20985000,0.06475,0.628,32425000,-0.0703,2.923,0.9695,5,1.2695,0.043
amss-v11c-087,1210087,1410087,tv|search|paid_social_proxy,tv-experiment,268400000,0.41825,101.33,0.5624,0.2302,0.45575,30825000,-0.0455,0.00466,1.699,0.998,15925000,0.27125,0.756,70375000,-0.0285,1.471,1.2555,4,1.2905,-0.021
amss-v11c-088,1210088,1410088,paid_social_proxy|search|tv,no-experiment,148400000,0.44975,133.63,0.7416,0.3506,0.60425,44125000,0.1015,0.0073,2.973,1.934,15465000,0.10325,1.396,28025000,0.0705,2.197,1.1455,1,0.7235,0.075
amss-v11c-089,1210089,1410089,search|paid_social_proxy|tv,paid-social-experiment,165200000,0.61425,123.42,0.5016,0.3394,0.59325,33625000,0.0205,0.01198,1.881,1.946,12245000,0.04025,1.14,66525000,0.1057,0.811,1.7065,9,0.9335,0.045
amss-v11c-090,1210090,1410090,search|tv|paid_social_proxy,search-experiment,270800000,0.63525,128.53,0.572,0.163,0.30725,12975000,0.1765,0.01522,2.791,1.55,5805000,0.17325,0.676,57725000,-0.0879,2.373,1.7615,4,1.1015,0.019
amss-v11c-091,1210091,1410091,tv|paid_social_proxy|search,tv-experiment,244400000,0.50225,116.63,0.7736,0.2526,0.74725,35375000,-0.0065,0.00646,3.311,1.538,16385000,0.05425,1.092,63225000,-0.0791,2.439,1.6955,3,0.8915,-0.087
amss-v11c-092,1210092,1410092,tv|search|paid_social_proxy,no-experiment,246800000,0.55475,55.42,0.6808,0.3198,0.31825,12275000,-0.0035,0.00454,3.857,0.866,27655000,0.21175,0.604,31325000,0.0595,2.043,1.5635,7,0.7725,-0.057
amss-v11c-093,1210093,1410093,paid_social_proxy|tv|search,paid-social-experiment,143600000,0.52675,69.03,0.6328,0.3002,0.71975,40975000,-0.0425,0.00958,1.595,1.802,26275000,0.11025,1.06,67075000,0.0485,2.989,1.0465,0,0.9405,-0.097
amss-v11c-094,1210094,1410094,search|paid_social_proxy|tv,search-experiment,215600000,0.65625,111.53,0.5112,0.317,0.28525,23825000,0.0805,0.00934,2.141,1.742,20295000,0.05775,1.076,70925000,0.1189,1.999,0.7715,4,0.8355,0.041
amss-v11c-095,1210095,1410095,search|tv|paid_social_proxy,tv-experiment,258800000,0.54425,114.92,0.5336,0.1182,0.57675,34675000,0.0025,0.0103,2.843,0.95,7415000,0.22925,1.22,46725000,0.0573,0.877,1.4205,3,1.0665,-0.029
amss-v11c-096,1210096,1410096,tv|paid_social_proxy|search,no-experiment,220400000,0.60375,93.68,0.6968,0.1406,0.61525,36775000,0.1795,0.00742,2.115,0.854,17995000,0.11725,0.724,52775000,-0.0461,1.053,0.8265,10,0.9615,0.021
amss-v11c-097,1210097,1410097,paid_social_proxy|search|tv,paid-social-experiment,117200000,0.53025,104.72,0.6616,0.3478,0.39525,33975000,0.0625,0.01558,3.025,1.766,10405000,0.29575,1.052,62125000,0.1101,2.681,1.3875,9,1.3325,-0.009
amss-v11c-098,1210098,1410098,paid_social_proxy|tv|search,search-experiment,114800000,0.56175,138.72,0.7832,0.2862,0.73625,35725000,0.1255,0.0049,3.285,1.586,9945000,0.25375,1.044,50575000,-0.0021,1.845,1.2225,7,1.1435,-0.085
amss-v11c-099,1210099,1410099,search|paid_social_proxy|tv,tv-experiment,261200000,0.37975,129.38,0.5368,0.359,0.65925,18225000,-0.0305,0.01402,2.817,1.31,20755000,0.16625,1.1,69275000,-0.0747,1.955,0.9145,7,0.9265,0.085
amss-v11c-100,1210100,1410100,search|tv|paid_social_proxy,no-experiment,213200000,0.67725,125.97,0.7448,0.1966,0.53825,37475000,0.2365,0.00586,3.259,1.61,20065000,0.29925,0.788,78625000,-0.0857,2.615,1.4315,7,1.0595,0.081
