date,revenue,meta_acquisition_spend,google_search_nonbrand_spend,ctv_spend
2000-11-06,156348480,624310.169268316,353450.9,393957.194761276
2000-11-13,151838240,406640.038340602,369859.6,0
2000-11-20,195336320,450194.815193359,444142.6,1834202.84439636
2000-11-27,184050400,539499.997582974,437685.6,0
2000-12-04,183936560,419673.333624457,430532.3,695128.57362901
2000-12-11,197743760,402929.991576413,449964.9,2635588.07275994
2000-12-18,174664800,689798.623346099,401286.6,0
2000-12-25,177790800,455259.517835999,0,1949464.46127511
2001-01-01,186719200,644118.713672458,0,0
2001-01-08,203519920,605540.211434892,676112.8,1117945.22630028
2001-01-15,193557840,838157.333021366,652913.8,0
2001-01-22,204183600,658903.994845806,661049.4,1804731.26722852
2001-01-29,195777280,686694.78328637,675702.5,0
2001-02-05,200805920,538685.507788202,663458.4,2603559.94574902
2001-02-12,159828720,392309.47132119,587924.7,0
2001-02-19,164742960,618626.364281218,572781,0
2001-02-26,157439520,640153.326052062,544789.3,0
2001-03-05,163725520,608412.864821985,572269.5,0
2001-03-12,154326720,804795.726946731,517711.7,0
2001-03-19,124698160,447949.073556411,447350.2,0
2001-03-26,106660160,248932.798893501,0,1495064.95651959
2001-04-02,124226000,331180.253188587,0,0
2001-04-09,130410880,367247.958445074,441409.1,3728539.80268674
2001-04-16,107158000,631851.863793654,367050.2,0
2001-04-23,90583280,322626.022190584,335893.8,0
2001-04-30,83968080,487422.081224597,297298.1,0
2001-05-07,82015920,291556.266419916,306891.2,0
2001-05-14,71925200,238295.12171733,254324.4,2202464.28510413
2001-05-21,92942560,437367.699126741,332660.9,0
2001-05-28,85813920,293318.231613439,321600.4,0
2001-06-04,69071920,365053.34943722,252160.7,0
2001-06-11,86341280,582278.18706547,298158.3,0
2001-06-18,90356880,720885.83071175,288174.7,1152963.5092465
2001-06-25,69822320,815941.905275067,0,0
2001-07-02,73095520,466544.532208471,0,0
2001-07-09,68870160,380350.311020255,249960.7,0
2001-07-16,85469600,620689.467054355,274202.5,1612338.90843391
2001-07-23,81190000,624798.858719458,277473.9,0
2001-07-30,80236080,495161.833797258,282643.9,17997.6882179165
2001-08-06,91862240,554026.320101662,293901.3,3980203.86357972
2001-08-13,82921840,296875.995835978,310965.6,0
2001-08-20,95054880,467938.232853111,309420.1,5489462.64406979
2001-08-27,93916480,440678.478956689,336481.2,0
2001-09-03,83303600,330605.304512059,308680.9,0
2001-09-10,88429440,267485.7390487,334167.9,0
2001-09-17,125524960,658668.223014068,396184.8,3385647.76184933
2001-09-24,108413600,507378.629721666,0,0
2001-10-01,125347840,394461.619154199,0,1400840.4416995
2001-10-08,147745200,768172.287799642,500100.7,0
2001-10-15,144145280,497319.165882413,475959,2341437.8489211
2001-10-22,172480320,671628.486241273,595144,0
2001-10-29,156067440,556595.103076544,551512.5,0
2001-11-05,158631840,446686.640647773,547215.9,729533.138562578
2001-11-12,146977920,722816.354370881,500118.3,0
2001-11-19,227519120,772511.435927626,722873.8,2520758.30715212
2001-11-26,176900400,791012.643673864,599634.2,0
2001-12-03,204235440,723753.724182252,647306,3829666.4282905
2001-12-10,190272640,624321.947660854,666712.2,0
2001-12-17,214479200,725065.733694827,687349.3,2586843.97638877
2001-12-24,167699840,576147.990712513,0,0
2001-12-31,200596720,1054685.81968326,0,1006677.28073535
2002-01-07,204970560,938564.881494998,912059.5,0
2002-01-14,202831040,1027224.39814066,889345.6,0
2002-01-21,183816640,1186389.91434545,791001.2,0
2002-01-28,177310800,926446.879145578,782690.7,0
2002-02-04,168990880,860390.947867925,706752.2,1424777.61749049
2002-02-11,186836480,931915.890639592,827334.2,0
2002-02-18,155485920,879664.999616941,681142,152009.071322916
2002-02-25,151505280,749452.61258987,682042.9,0
2002-03-04,124563440,625681.022094448,571407.1,0
2002-03-11,145432080,783827.914853674,651036.1,0
2002-03-18,138376720,764623.888788749,581076.1,1532502.2985474
2002-03-25,152532880,800280.906086673,0,0
2002-04-01,130357280,477220.719741576,0,2163661.02955148
2002-04-08,117404480,700914.837120608,529711.6,0
2002-04-15,129029840,710385.890685698,559521.6,704488.33569594
2002-04-22,141002960,694084.509734515,640773.1,0
2002-04-29,119284960,770968.910003056,497495.9,1968871.80946156
2002-05-06,98497280,535213.155874203,458807.8,0
2002-05-13,100224560,329354.787961894,458532.8,2509435.3950929
2002-05-20,97507040,623876.61637633,445109.5,0
2002-05-27,93423760,520808.509232364,424231.5,381757.461274024
2002-06-03,90767520,854136.209150534,398315.5,0
2002-06-10,82715680,829684.934618883,364181.4,0
2002-06-17,78363680,571577.967224116,360658.1,0
2002-06-24,72900160,527417.607372537,0,705963.360537461
2002-07-01,72993440,410889.702313382,0,0
2002-07-08,73669520,292241.790076209,366086.6,0
2002-07-15,92618640,454508.838946827,439976.9,0
2002-07-22,69663520,315328.480860214,318028.7,3318711.11696071
2002-07-29,79755920,539189.427834056,370742.9,0
2002-08-05,72290320,175208.291907462,346192,4366005.60191874
2002-08-12,83819760,418525.06734277,399884.1,0
2002-08-19,87222960,315880.057430873,431459.6,0
2002-08-26,89917520,505004.094498702,420898.5,0
2002-09-02,108876160,866618.043863869,467412,349956.410679401
2002-09-09,135078000,705848.902362096,582612.8,860140.080792169
2002-09-16,118120640,444041.955546574,564231.8,0
2002-09-23,137307680,479631.103677866,0,8623090.61269976
2002-09-30,118804000,443597.734571637,0,0
2002-10-07,129938400,577339.61505275,553855.5,5774543.80806022
2002-10-14,131632400,740367.254244162,592326.9,0
2002-10-21,165716880,594164.4453987,720891.6,1683726.31772605
2002-10-28,132059520,660873.965133579,602191.7,0
2002-11-04,164906640,767881.438009671,718576.1,541667.95932138
2002-11-11,148127120,570999.719891235,690500.8,0
2002-11-18,162012240,534202.383037701,764583.6,0
2002-11-25,170443440,876999.896532712,756571.2,0
2002-12-02,202551600,928740.810064859,825135.3,4692546.24343206
2002-12-09,174035600,675303.637399259,797665,0
2002-12-16,183128400,429386.276793215,836806.3,1421023.69159412
2002-12-23,202499600,602432.336765495,0,1318444.49710586
